id,name,category,manufacturer,total_owned,sell_price,rental_price,net_cost_per_invoice,purchase_price,photo_file_name,photo_file_type,photo_file_path,created_at
118,7' Truss ( 12in x 12in | 1 3/8in OD ),"Trussing,Infrastructure",Applied,,25,0,0,0,applied_light_duty_truss_7.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/applied_light_duty_truss_7.jpg,2018-07-06T14:30:12.000Z
119,12 Channel Dimmer Box,"Lighting,Conventional",Custom,,100,100,0,0,,,,2018-07-06T14:59:45.000Z
120,Mixing Desk,"Sound,Boards",Yamaha,,100,0,0,0,,,,2018-07-23T19:54:37.000Z
121,Long Throw Follow Spot,"Lighting,Followspot",Altman,,150,0,0,0,,,,2018-07-23T21:03:41.000Z
122,Mole (PAR 36 - 4 bulb),"Lighting,Conventional",,,0,0,0,0,4_bulb_molefay.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/4_bulb_molefay.jpg,2018-07-23T21:05:45.000Z
123,25' 3 Phase Camlok Cable,"Power,Cabling",,,0,0,0,0,25_3_Phase_cam_lok_cable.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/25_3_Phase_cam_lok_cable.jpg,2018-07-23T22:01:29.000Z
124,Lodestar 1-Ton Chain Motor,Chain Motors,CM,,0,100,0,0,CM-ET-Lodestar-WP-web-highres.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/CM-ET-Lodestar-WP-web-highres.jpg,2018-08-07T16:42:43.000Z
125,8 way Controller,Chain Motors,Motion Labs,,0,100,0,0,motion_labs_8_way_controller.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/motion_labs_8_way_controller.jpg,2018-08-07T16:46:29.000Z
126,Hand Remote,Chain Motors,Motion Labs,,0,50,0,0,motion_labs_hand_controller.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/motion_labs_hand_controller.jpg,2018-08-07T16:49:07.000Z
127,100' Motor Cable,"Chain Motors,Cabling",,,0,0,0,0,100_chain_motor_cable.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/100_chain_motor_cable.jpg,2018-08-07T16:50:26.000Z
128,50 Amp Power Cable,"Power,Cabling",,,0,0,0,0,50_amp_power_cable.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/50_amp_power_cable.jpg,2018-08-07T16:53:05.000Z
129,4 channel Dimmer Pack,"Lighting,Conventional",NSI,,25,25,0,0,nsi_dimmer_pack.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/nsi_dimmer_pack.jpg,2018-08-07T18:24:15.000Z
130,PDS-500,"LED,Lighting",Philips,,0,0,0,0,color_kinetics_PDS_500.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/color_kinetics_PDS_500.jpg,2018-08-07T18:27:25.000Z
131,Stage Desk - 16 lighting controller,"Lighting,Boards",ADJ,3,0,0,0,0,stage_desk_16_lighting_controller.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/stage_desk_16_lighting_controller.jpg,2018-08-07T18:33:34.000Z
132,50' Socopex Cable,"Power,Cabling",,,0,0,0,0,50_socopex_cable.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/50_socopex_cable.jpg,2018-08-07T18:39:45.000Z
133,100' Socapex Cable,"Power,Cabling",,,0,0,0,0,100_socapex_cable.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/100_socapex_cable.jpg,2018-08-07T18:41:33.000Z
134,Socapex to Edison Breakout,"Power,Cabling",,,0,0,0,0,10_socapex_female_edison.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/10_socapex_female_edison.jpg,2018-08-07T18:51:30.000Z
135,Socapex to Edison Break In,"Power,Cabling",,,0,0,0,0,socapex_to_edison_break_in.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/socapex_to_edison_break_in.jpg,2018-08-07T18:55:07.000Z
