id,content_id,item_id,created_at
437,19,,2018-05-24 6:19pm
438,38,210,2018-05-24 6:20pm
439,185,211,2018-05-25 4:25pm
440,159,212,2018-05-25 4:26pm
441,160,212,2018-05-25 4:26pm
442,186,213,2018-05-25 4:27pm
443,51,214,2018-05-31 9:17pm
444,95,214,2018-05-31 9:17pm
445,187,214,2018-05-31 9:18pm
446,45,215,2018-06-04 3:59pm
447,129,216,2018-06-04 6:25pm
448,188,216,2018-06-04 6:26pm
449,7,217,2018-06-04 8:46pm
450,6,218,2018-06-04 8:47pm
451,159,219,2018-06-04 8:48pm
452,160,219,2018-06-04 8:49pm
453,7,220,2018-06-04 9:07pm
454,111,221,2018-06-05 4:35pm
455,189,222,2018-06-05 4:36pm
456,159,223,2018-06-05 4:38pm
457,160,223,2018-06-05 4:38pm
458,190,,2018-06-05 4:40pm
459,191,223,2018-06-05 4:42pm
460,192,225,2018-06-05 8:22pm
461,194,226,2018-06-07 3:50pm
462,195,226,2018-06-07 3:51pm
463,196,229,2018-06-07 3:54pm
464,197,230,2018-06-07 3:57pm
465,19,7,2018-06-07 4:13pm
466,5,7,2018-06-07 4:13pm
467,2,231,2018-06-07 4:14pm
468,22,231,2018-06-07 4:14pm
469,13,231,2018-06-07 4:15pm
470,38,231,2018-06-07 4:15pm
471,198,232,2018-06-08 12:35am
472,199,233,2018-06-08 12:36am
473,200,234,2018-06-08 12:38am
474,201,235,2018-06-08 12:41am
475,202,,2018-06-12 5:30pm
476,203,238,2018-06-12 5:32pm
477,204,239,2018-06-12 5:35pm
478,205,240,2018-06-12 5:37pm
479,202,,2018-06-12 5:42pm
480,202,,2018-06-12 5:43pm
481,202,241,2018-06-12 5:45pm
482,202,237,2018-06-12 5:46pm
483,208,242,2018-06-12 5:47pm
484,186,243,2018-06-12 6:20pm
485,209,244,2018-06-12 6:21pm
486,19,2,2018-06-18 12:26am
487,5,2,2018-06-18 12:26am
488,,,2018-06-18 2:45pm
