id,inventory_id,description,quantity,inc,discount_adj,kind,hours_for_labor_only,description_only,inc_discount_in_opct,created_at
149,33,,2,1,,,,0,,2018-04-30T14:05:44.000Z
150,5,Static LED Walls,,0,$700.00,,,1,,2018-04-30T15:22:55.000Z
151,76,Follow spot,1,0,,,,1,,2018-04-30T15:24:30.000Z
152,77,,1,0,,,,0,,2018-04-30T15:28:40.000Z
153,78,4' x 4' Riser for Followspot,1,0,,,,1,,2018-04-30T15:30:05.000Z
154,49,,4,0,,,,0,,2018-04-30T15:45:13.000Z
155,37,,2,0,,,,0,,2018-04-30T15:45:52.000Z
156,79,,,0,,,,0,,2018-04-30T15:46:54.000Z
157,73,,4,0,,,,0,,2018-04-30T15:49:15.000Z
158,80,Mac Computer w/ resolume software,1,0,,,,1,,2018-04-30T15:49:37.000Z
159,43,,,1,,,,0,,2018-05-01T16:06:34.000Z
160,33,,,1,,,,0,,2018-05-01T16:06:53.000Z
161,61,,,0,,,,0,,2018-05-01T16:55:26.000Z
162,60,,,0,,,,0,,2018-05-01T16:56:46.000Z
163,81,,1,0,-$100.00,,,0,,2018-05-01T19:34:07.000Z
164,38,,1,0,-$50.00,,,0,,2018-05-01T19:34:54.000Z
165,80,Mac Computer,1,0,,,,1,,2018-05-01T20:01:59.000Z
166,41,60in. Plasma Screens,2,0,,,,1,,2018-05-02T21:27:12.000Z
167,65,Men to setup and strike @$200 each,2,0,,,,1,,2018-05-02T21:37:34.000Z
168,28,Wireless LEDs,7,0,-$35.00,,,1,,2018-05-02T21:45:00.000Z
169,50,,4,0,,,,0,,2018-05-02T21:46:31.000Z
170,49,Smith Audio Tops,4,0,,,,1,,2018-05-02T21:46:46.000Z
171,35,Booth Monitor,,0,,,,1,,2018-05-02T21:47:30.000Z
172,25,Wireless Microphones,4,0,,,,1,,2018-05-02T21:47:54.000Z
173,28,LED Uplights (Cyan),12,0,-$60.00,,,1,,2018-05-02T21:51:24.000Z
174,,Speakers,2,0,-$500.00,,,0,,2018-05-02T21:52:44.000Z
175,47,for ceiling wash (Purple),5,0,-$100.00,,,0,,2018-05-02T21:53:28.000Z
176,82,,5,0,,,,0,,2018-05-02T21:54:13.000Z
177,33,,5,0,$100.00,,,0,,2018-05-02T21:55:25.000Z
178,,LEE #343 Gel Papers,,1,,,,0,,2018-05-02T21:56:09.000Z
179,28,Wireless LEDs to Uplight walls (Amber),20,0,-$100.00,,,1,,2018-05-02T21:57:23.000Z
180,28,Wireless LED to Uplight walls (Cyan),20,0,-$100.00,,,1,,2018-05-02T21:59:05.000Z
181,84,Static LED Walls,,0,,,,1,,2018-05-03T18:08:08.000Z
182,84,,,0,,,,0,,2018-05-03T18:09:49.000Z
183,85,,,0,,,,0,,2018-05-03T18:11:08.000Z
184,86,,,0,,,,0,,2018-05-03T18:11:20.000Z
185,22,,1,0,,,,0,,2018-05-25T16:25:17.000Z
186,87,,,0,,,,0,,2018-05-25T16:27:34.000Z
187,25,,4,0,,,,0,,2018-05-31T21:18:39.000Z
188,2,ADJ Vizi Beams,4,0,,,,1,,2018-06-04T18:26:26.000Z
189,22,,,0,,,,0,,2018-06-05T16:36:55.000Z
190,62,,,0,,,,0,,2018-06-05T16:40:20.000Z
191,88,,,0,,,,0,,2018-06-05T16:42:13.000Z
192,89,,,0,,,,0,,2018-06-05T20:22:51.000Z
193,24,Lavalier Microphones,4,0,-$100.00,,,1,,2018-06-06T03:18:32.000Z
194,60,,2,0,-$200.00,,,0,,2018-06-07T15:50:33.000Z
195,61,,2,0,$100.00,,,0,,2018-06-07T15:51:33.000Z
196,62,,,0,-$150.00,,,0,,2018-06-07T15:54:59.000Z
197,62,,,0,-$150.00,,,0,,2018-06-07T15:57:29.000Z
198,35,JBL Eons,2,0,,,,1,,2018-06-08T00:35:11.000Z
199,51,Delay Speakers,2,0,,,,1,,2018-06-08T00:36:37.000Z
200,25,Microphones,2,0,,,,1,,2018-06-08T00:38:28.000Z
201,12,,,0,,,,0,,2018-06-08T00:41:57.000Z
202,62,men,10,0,-$500.00,,,1,,2018-06-12T17:30:39.000Z
203,90,,,0,,,,0,,2018-06-12T17:32:42.000Z
204,62,Men,2,0,-$100.00,,,1,,2018-06-12T17:35:02.000Z
205,91,to Turn On Daily,1,0,"-$1,800.00",,,0,,2018-06-12T17:37:08.000Z
206,,,,0,,,,0,,2018-06-12T17:43:11.000Z
207,,,,0,,,,0,,2018-06-12T17:46:19.000Z
208,92,,1,0,,,,0,,2018-06-12T17:47:50.000Z
209,93,Avolites Pearl Tiger Lighting Desk,,0,,,,1,,2018-06-12T18:21:46.000Z
210,94,,3,0,,,,0,,2018-06-18T14:58:01.000Z
211,95,,,0,,,,0,,2018-06-18T15:01:05.000Z
212,80,,,0,,,,0,,2018-06-18T15:12:33.000Z
213,96,,,0,,,,0,,2018-06-18T15:12:55.000Z
214,97,10' Truss,3,0,,,,1,,2018-06-18T15:21:59.000Z
215,98,,,0,,,,0,,2018-06-20T17:50:36.000Z
216,2,Vizi Beams,4,0,,,,1,,2018-06-27T14:59:43.000Z
217,97,10' Truss,2,0,,,,1,,2018-06-27T15:01:05.000Z
218,88,cheeseboroughs,4,0,,,,1,,2018-06-27T15:30:55.000Z
219,100,,2,0,,,,0,,2018-06-27T15:33:21.000Z
220,101,7' x 9' Video Screens,2,0,,,,1,,2018-06-27T15:39:26.000Z
221,101,7' x 9' Video Screen,,0,,,,1,,2018-06-27T15:42:47.000Z
222,102,Panasonic 6K HDMI Projector,,0,,,,1,,2018-06-27T15:45:05.000Z
223,103,Technicians @$450,2,0,-$900.00,,,1,,2018-06-27T15:54:07.000Z
224,36,Mackie CFX-20 Sound Board,,1,,,,1,,2018-06-27T15:59:48.000Z
225,20,4' x 8' Black Stage,,0,,,,1,,2018-06-27T16:52:43.000Z
226,104,1' Stage Legs,6,0,,,,1,,2018-06-27T16:54:01.000Z
227,105,,,0,,,,0,,2018-06-27T16:56:28.000Z
228,14,,,0,,,,0,,2018-06-27T17:08:45.000Z
229,106,,,0,,,,0,,2018-06-27T17:11:06.000Z
230,107,Martin Atomic 3000 strobes,2,0,,,,1,,2018-06-27T17:16:06.000Z
231,,Full PA Sound System with Microphones,,1,,,,0,,2018-06-27T17:26:32.000Z
232,,DJ Mixer and CD Tables,,1,,,,0,,2018-06-27T17:27:52.000Z
233,14,,8,0,,,,0,,2018-06-27T17:28:54.000Z
234,,,,0,,,,0,,2018-06-27T17:29:48.000Z
235,2,,12,0,,,,0,,2018-06-27T17:29:58.000Z
236,19,,12,0,,,,0,,2018-06-27T17:30:25.000Z
237,97,10' Truss,8,0,,,,1,,2018-06-27T17:32:09.000Z
238,108,,4,1,,,,0,,2018-06-27T17:33:15.000Z
239,,Full PA Sound System with Microphones and Monitors,,0,"-$1,000.00",Subcontracted,,1,,2018-06-27T17:47:55.000Z
240,48,,8,0,,,,0,,2018-07-02T18:58:23.000Z
241,109,,4,0,$200.00,,,0,,2018-07-02T18:58:49.000Z
242,20,4' x 8' Black Stages w/ 1ft. legs,4,0,,,,1,,2018-07-05T19:08:17.000Z
243,48,,2,0,,,,0,,2018-07-05T19:10:20.000Z
244,43,,2,1,,,,0,,2018-07-05T19:13:14.000Z
245,33,,2,1,,,,0,,2018-07-05T19:13:43.000Z
246,,"5 Men setup and strike, Board Operators",,0,"-$1,100.00",Labor,,0,,2018-07-05T19:17:15.000Z
247,105,,5,0,,,,0,,2018-07-05T19:22:56.000Z
248,97,10' - 12in x 12in (Heavy duty) Truss,4,0,,,,1,,2018-07-05T19:25:34.000Z
249,110,10' 12in x 12in (Light duty) Truss,2,0,,,,1,,2018-07-05T19:29:29.000Z
250,99,8' 12 in x 12 in  (Heavy duty) Truss,1,0,,,,1,,2018-07-05T19:45:48.000Z
251,111,6' 12in x 12in (Light duty) Truss,3,0,,,,1,,2018-07-05T19:48:45.000Z
252,108,,2,0,,,,0,,2018-07-05T19:55:12.000Z
253,112,1-Ton Chain Motors,3,0,,,,1,,2018-07-05T19:55:50.000Z
254,113,24 Channel Dimmer Rack,1,1,,,,1,,2018-07-05T20:00:15.000Z
255,114,16 Channel Dimmer board,,1,,,,1,,2018-07-05T20:04:01.000Z
