id,type,status,payment_status,payment_type,commission_paid,check_info,discount,deposit,tip,refund,commission_actual,event_id,created_at
532,On Premise Contract,,Paid In Full,Unknown,,,,,,,,657,2018-03-08 4:15pm
533,On Premise Contract,,Paid In Full,Check,,,,,,,,658,2018-03-08 4:27pm
534,On Premise Contract,,Paid In Full,Check,,,,,,,,659,2018-03-08 4:30pm
535,On Premise Contract,,Paid In Full,Unknown,,,,,,,,660,2018-03-08 4:31pm
536,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,661,2018-03-08 4:33pm
537,On Premise Contract,,Paid In Full,Unknown,,,,,,,,662,2018-03-08 4:34pm
538,On Premise Contract,,Paid In Full,Check,,,,,,,,663,2018-03-08 4:36pm
539,On Premise Contract,,Paid In Full,Check,,,100.00,,,,,664,2018-03-08 4:39pm
540,On Premise Contract,,Paid In Full,Check,,,,,,,,665,2018-03-08 4:42pm
541,On Premise Contract,,Paid In Full,Check,,,,,,,,666,2018-03-08 4:48pm
542,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,667,2018-03-08 4:50pm
543,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,668,2018-03-08 4:53pm
544,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,669,2018-03-08 4:55pm
545,On Premise Contract,,Paid In Full,Check,,,,,,,,670,2018-03-08 4:56pm
546,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,671,2018-03-08 4:58pm
547,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,672,2018-03-08 5:00pm
548,On Premise Contract,,Paid In Full,Deduction from Commissions,,,,300.00,,,-2200.00,673,2018-03-08 5:02pm
549,On Premise Contract,,Paid In Full,Check,,,,,,,,674,2018-03-08 5:07pm
550,On Premise Contract,,Paid In Full,Check,,,,,,,,675,2018-03-08 5:11pm
551,On Premise Contract,,Paid In Full,Check,,,,,,,,676,2018-03-08 5:12pm
552,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,677,2018-03-08 5:14pm
553,On Premise Contract,,Paid In Full,Check,,,,,,,,678,2018-03-08 5:15pm
554,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,679,2018-03-08 5:19pm
555,On Premise Contract,,Paid In Full,Check,,,,,,,,680,2018-03-08 5:21pm
556,On Premise Contract,,Paid In Full,Check,,,,,,,,681,2018-03-08 5:23pm
557,On Premise Contract,,Paid In Full,Check,,,,,,,,682,2018-03-08 5:26pm
558,On Premise Contract,,Paid In Full,Check,,,,,,,,683,2018-03-08 5:30pm
559,On Premise Contract,,Paid In Full,Check,,,,,,,,684,2018-03-08 5:31pm
560,On Premise Contract,,Paid In Full,Check,,,,,,,,685,2018-03-08 5:33pm
561,On Premise Contract,,Paid In Full,Check,,,,,,,,686,2018-03-08 5:38pm
562,On Premise Contract,,Paid In Full,Check,,,,,,,,687,2018-03-08 5:44pm
563,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,688,2018-03-08 5:50pm
